EpsgNumber|CrsName|AreaName
2152|NAD83(CSRS98) / UTM zone 12N|Canada - 114°W to 108°W, south of 60°N
2153|NAD83(CSRS98) / UTM zone 11N|Canada - 120°W to 114°W, south of 60°N
2154|RGF93 / Lambert-93|France
2155|American Samoa 1962 / American Samoa Lambert|American Samoa
2156|NAD83(HARN) / UTM zone 59S|American Samoa
2157|IRENET95 / Irish Transverse Mercator|Europe - Ireland (Republic and Ulster) - onshore
2158|IRENET95 / UTM zone 29N|Europe - Ireland (Republic and Ulster) - onshore
2159|Sierra Leone 1924 / New Colony Grid|Sierra Leone - Freetown Peninsula
2160|Sierra Leone 1924 / New War Office Grid|Sierra Leone - Freetown Peninsula
2161|Sierra Leone 1968 / UTM zone 28N|Sierra Leone - west of 12°W
2162|Sierra Leone 1968 / UTM zone 29N|Sierra Leone - east of 12°W
2163|US National Atlas Equal Area|USA
2164|Locodjo 1965 / TM 5 NW|Cote d&#39;Ivoire (Ivory Coast) - offshore
2165|Abidjan 1987 / TM 5 NW|Cote d&#39;Ivoire (Ivory Coast) - offshore
2166|Pulkovo 1942(83) / Gauss Kruger zone 3|Germany - East Germany - west of 10.5°E
2167|Pulkovo 1942(83) / Gauss Kruger zone 4|Europe - 10.5°E to 13.5°E onshore by country
2168|Pulkovo 1942(83) / Gauss Kruger zone 5|Germany - East Germany - west of 10.5°E
2169|Luxembourg 1930 / Gauss|Luxembourg
2170|MGI / Slovenia Grid|Slovenia
2171|Pulkovo 1942(58) / Poland zone I|Poland - zone I
2172|Pulkovo 1942(58) / Poland zone II|Poland - zone II
2173|Pulkovo 1942(58) / Poland zone III|Poland - zone III
2174|Pulkovo 1942(58) / Poland zone IV|Poland - zone IV
2175|Pulkovo 1942(58) / Poland zone V|Poland - zone V
2176|ETRS89 / Poland CS2000 zone 5|Poland - west of 16.5°E
2177|ETRS89 / Poland CS2000 zone 6|Poland - 16.5°E to 19.5°E
2178|ETRS89 / Poland CS2000 zone 7|Poland - 19.5°E to 22.5°E
2179|ETRS89 / Poland CS2000 zone 8|Poland - east of 22.5°E
2180|ETRS89 / Poland CS92|Poland
2188|Azores Occidental 1939 / UTM zone 25N|Portugal - Azores W - onshore
2189|Azores Central 1948 / UTM zone 26N|Portugal - Azores C - onshore
2190|Azores Oriental 1940 / UTM zone 26N|Portugal - Azores E - onshore
2191|Madeira 1936 / UTM zone 28N|Portugal - Madeira archipelago onshore
2192|ED50 / France EuroLambert|France - mainland onshore
2193|NZGD2000 / New Zealand Transverse Mercator 2000|New Zealand - onshore
2194|American Samoa 1962 / American Samoa Lambert|American Samoa
2195|NAD83(HARN) / UTM zone 2S|American Samoa - 2 main island groups and Rose Island
2196|ETRS89 / Kp2000 Jutland|Denmark - onshore Jutland and Funen
2197|ETRS89 / Kp2000 Zealand|Denmark - onshore Zealand and Lolland
2198|ETRS89 / Kp2000 Bornholm|Denmark - onshore Bornholm
2199|Albanian 1987 / Gauss Kruger zone 4|Albania
2200|ATS77 / New Brunswick Stereographic (ATS77)|Canada - New Brunswick
2201|REGVEN / UTM zone 18N|Venezuela - west of 72°W
2202|REGVEN / UTM zone 19N|Venezuela - 72°W and 66°W
2203|REGVEN / UTM zone 20N|Venezuela - east of 66°W
2204|NAD27 / Tennessee|USA - Tennessee
2205|NAD83 / Kentucky North|USA - Kentucky - SPCS - N
2206|ED50 / 3-degree Gauss-Kruger zone 9|Turkey - west of 28.5°E onshore
2207|ED50 / 3-degree Gauss-Kruger zone 10|Turkey - 28.5°E to 31.5°E onshore
2208|ED50 / 3-degree Gauss-Kruger zone 11|Turkey - 31.5°E to 34.5°E onshore
2209|ED50 / 3-degree Gauss-Kruger zone 12|Turkey - 34.5°E to 37.5°E onshore
2210|ED50 / 3-degree Gauss-Kruger zone 13|Turkey - 37.5°E to 40.5°E onshore
2211|ED50 / 3-degree Gauss-Kruger zone 14|Turkey - 40.5°E to 43.5°E onshore
