EpsgNumber|CrsName|AreaName
21419|Beijing 1954 / Gauss-Kruger zone 19|China - 108°E to 114°E onshore
21420|Beijing 1954 / Gauss-Kruger zone 20|China - 114°E to 120°E onshore
21421|Beijing 1954 / Gauss-Kruger zone 21|China - 120°E to 126°E onshore
21422|Beijing 1954 / Gauss-Kruger zone 22|China - 126°E to 132°E onshore
21423|Beijing 1954 / Gauss-Kruger zone 23|China - east of 132°E
21453|Beijing 1954 / Gauss-Kruger CM 75E|China - west of 78°E
21454|Beijing 1954 / Gauss-Kruger CM 81E|China - 78°E to 84°E
21455|Beijing 1954 / Gauss-Kruger CM 87E|China - 84°E to 90°E
21456|Beijing 1954 / Gauss-Kruger CM 93E|China - 90°E to 96°E
21457|Beijing 1954 / Gauss-Kruger CM 99E|China - 96°E to 102°E
21458|Beijing 1954 / Gauss-Kruger CM 105E|China - 102°E to 108°E onshore
21459|Beijing 1954 / Gauss-Kruger CM 111E|China - 108°E to 114°E onshore
21460|Beijing 1954 / Gauss-Kruger CM 117E|China - 114°E to 120°E onshore
21461|Beijing 1954 / Gauss-Kruger CM 123E|China - 120°E to 126°E onshore
21462|Beijing 1954 / Gauss-Kruger CM 129E|China - 126°E to 132°E onshore
21463|Beijing 1954 / Gauss-Kruger CM 135E|China - east of 132°E
21473|Beijing 1954 / Gauss-Kruger 13N|China - west of 78°E
21474|Beijing 1954 / Gauss-Kruger 14N|China - 78°E to 84°E
21475|Beijing 1954 / Gauss-Kruger 15N|China - 84°E to 90°E
21476|Beijing 1954 / Gauss-Kruger 16N|China - 90°E to 96°E
21477|Beijing 1954 / Gauss-Kruger 17N|China - 96°E to 102°E
21478|Beijing 1954 / Gauss-Kruger 18N|China - 102°E to 108°E onshore
21479|Beijing 1954 / Gauss-Kruger 19N|China - 108°E to 114°E onshore
21480|Beijing 1954 / Gauss-Kruger 20N|China - 114°E to 120°E onshore
21481|Beijing 1954 / Gauss-Kruger 21N|China - 120°E to 126°E onshore
21482|Beijing 1954 / Gauss-Kruger 22N|China - 126°E to 132°E onshore
21483|Beijing 1954 / Gauss-Kruger 23N|China - east of 132°E
21500|Belge 1950 (Brussels) / Belge Lambert 50|Belgium - onshore
21780|Bern 1898 (Bern) / LV03C|Europe - Liechtenstein and Switzerland
21781|CH1903 / LV03|Europe - Liechtenstein and Switzerland
21782|CH1903 / LV03C-G|Liechtenstein
21817|Bogota 1975 / UTM zone 17N|Colombia - offshore west of 78°W
21818|Bogota 1975 / UTM zone 18N|Colombia - offshore Caribbean west of 72°W
21891|Bogota 1975 / Colombia West zone|Colombia - west of 75°35&#39;W
21892|Bogota 1975 / Colombia Bogota zone|Colombia - 75°35&#39;W to 72°35&#39;W
21893|Bogota 1975 / Colombia East Central zone|Colombia - 72°35&#39;W to 69°35&#39;W
21894|Bogota 1975 / Colombia East|Colombia - east of 69°35&#39;W
21896|Bogota 1975 / Colombia West zone|Colombia - west of 75°35&#39;W
21897|Bogota 1975 / Colombia Bogota zone|Colombia - 75°35&#39;W to 72°35&#39;W
21898|Bogota 1975 / Colombia East Central zone|Colombia - 72°35&#39;W to 69°35&#39;W
21899|Bogota 1975 / Colombia East zone|Colombia - east of 69°35&#39;W
22032|Camacupa / UTM zone 32S|Angola - Angola proper - offshore - west of 12°E
22033|Camacupa / UTM zone 33S|Angola - 12°E to 18°E
22091|Camacupa / TM 11.30 SE|Angola - offshore block 15
22092|Camacupa / TM 12 SE|Angola - Angola proper - offshore
22171|POSGAR 98 / Argentina 1|Argentina - west of 70.5°W
22172|POSGAR 98 / Argentina 2|Argentina - 70.5°W to 67.5°W onshore
22173|POSGAR 98 / Argentina 3|Argentina - 67.5°W to 64.5°W onshore
22174|POSGAR 98 / Argentina 4|Argentina - 64.5°W to 61.5°W onshore
22175|POSGAR 98 / Argentina 5|Argentina - 61.5°W to 58.5°W onshore
22176|POSGAR 98 / Argentina 6|Argentina - 58.5°W to 55.5°W onshore
22177|POSGAR 98 / Argentina 7|Argentina - east of 55.5°W onshore
22181|POSGAR 94 / Argentina 1|Argentina - west of 70.5°W
22182|POSGAR 94 / Argentina 2|Argentina - 70.5°W to 67.5°W onshore
22183|POSGAR 94 / Argentina 3|Argentina - 67.5°W to 64.5°W onshore
22184|POSGAR 94 / Argentina 4|Argentina - 64.5°W to 61.5°W onshore
22185|POSGAR 94 / Argentina 5|Argentina - 61.5°W to 58.5°W onshore
22186|POSGAR 94 / Argentina 6|Argentina - 58.5°W to 55.5°W onshore
22187|POSGAR 94 / Argentina 7|Argentina - east of 55.5°W onshore
22191|Campo Inchauspe / Argentina 1|Argentina - west of 70.5°W
22192|Campo Inchauspe / Argentina 2|Argentina - 70.5°W to 67.5°W onshore
22193|Campo Inchauspe / Argentina 3|Argentina - 67.5°W to 64.5°W onshore
22194|Campo Inchauspe / Argentina 4|Argentina - 64.5°W to 61.5°W onshore
22195|Campo Inchauspe / Argentina 5|Argentina - 61.5°W to 58.5°W onshore
22196|Campo Inchauspe / Argentina 6|Argentina - 58.5°W to 55.5°W onshore
22197|Campo Inchauspe / Argentina 7|Argentina - east of 55.5°W onshore
22234|Cape / UTM zone 34S|Botswana - west of 24°E
22235|Cape / UTM zone 35S|Botswana - east of 24°E
22236|Cape / UTM zone 36S|Botswana - 21°E to 27°E
22275|Cape / Lo15|Namibia - Walvis Bay
22277|Cape / Lo17|South Africa - west of 18°E
22279|Cape / Lo19|South Africa - 18°E to 20°E
22281|Cape / Lo21|South Africa - 20°E to 22°E
22283|Cape / Lo23|South Africa - 22°E to 24°E
22285|Cape / Lo25|South Africa - 24°E to 26°E
22287|Cape / Lo27|South Africa - 26°E to 28°E
22289|Cape / Lo29|South Africa - 28°E to 30°E
22291|Cape / Lo31|South Africa - 30°E to 32°E
22293|Cape / Lo33|South Africa - east of 32°E
22300|Carthage (Paris) / Tunisia Mining Grid|Tunisia - onshore
22332|Carthage / UTM zone 32N|Tunisia - offshore
22391|Carthage / Nord Tunisie|Tunisia - north of 34°39&#39;N
22392|Carthage / Sud Tunisie|Tunisia - south of 34°39&#39;N
22521|Corrego Alegre 1970-72 / UTM zone 21S|Brazil - south of 18°S and west of 54°W
22522|Corrego Alegre 1970-72 / UTM zone 22S|Brazil - 54°W to 48°W and south of 15°S
22523|Corrego Alegre 1970-72 / UTM zone 23S|Brazil - 48°W to 42°W and south of 15°S
22524|Corrego Alegre 1970-72 / UTM zone 24S|Brazil - 42°W to 36°W onshore
22525|Corrego Alegre 1970-72 / UTM zone 25S|Brazil - east of 36°W onshore
22700|Deir ez Zor / Levant Zone|Asia - Middle East - Lebanon and Syria onshore
22770|Deir ez Zor / Syria Lambert|Asia - Middle East - Lebanon and Syria onshore
22780|Deir ez Zor / Levant Stereographic|Asia - Middle East - Lebanon and Syria onshore
22832|Douala / UTM zone 32N|Cameroon
22991|Egypt 1907 / Blue Belt|Egypt - east of 33°E onshore
22992|Egypt 1907 / Red Belt|Egypt - 29°E to 33°E
22993|Egypt 1907 / Purple Belt|Egypt - west of 29°E; north of 28°11&#39;N
22994|Egypt 1907 / Extended Purple Belt|Egypt - west of 29°E; south of 28°11&#39;N
23028|ED50 / UTM zone 28N|Europe - 18°W to 12°W and ED50 by country
23029|ED50 / UTM zone 29N|Europe - 12°W to 6°W and ED50 by country
23030|ED50 / UTM zone 30N|Europe - 6°W to 0°W and ED50 by country
23031|ED50 / UTM zone 31N|Europe - 0°E to 6°E and ED50 by country
23032|ED50 / UTM zone 32N|Europe - 6°E to 12°E and ED50 by country
23033|ED50 / UTM zone 33N|Europe - 12°E to 18°E and ED50 by country
23034|ED50 / UTM zone 34N|Europe - 18°E to 24°E and ED50 by country
23035|ED50 / UTM zone 35N|Europe - 24°E to 30°E and ED50 by country
23036|ED50 / UTM zone 36N|Europe - 30°E to 36°E and ED50 by country
23037|ED50 / UTM zone 37N|Europe - 36°E to 42°E and ED50 by country
23038|ED50 / UTM zone 38N|Europe - 42°E to 48°E and ED50 by country
23090|ED50 / TM 0 N|UK - offshore - North Sea
23095|ED50 / TM 5 NE|Netherlands - offshore
23239|Fahud / UTM zone 39N|Oman - onshore west of 54°E
23240|Fahud / UTM zone 40N|Oman - mainland east of 54°E
23433|Garoua / UTM zone 33N|Cameroon
23700|HD72 / EOV|Hungary
23830|DGN95 / Indonesia TM-3 zone 46.2|Indonesia - west of 96°E onshore
23831|DGN95 / Indonesia TM-3 zone 47.1|Indonesia - 96°E to 99°E onshore
23832|DGN95 / Indonesia TM-3 zone 47.2|Indonesia - 99°E to 102°E onshore
23833|DGN95 / Indonesia TM-3 zone 48.1|Indonesia - 102°E to 105°E onshore
23834|DGN95 / Indonesia TM-3 zone 48.2|Indonesia - 105°E to 108°E onshore
23835|DGN95 / Indonesia TM-3 zone 49.1|Indonesia - 108°E to 111°E onshore
23836|DGN95 / Indonesia TM-3 zone 49.2|Indonesia - 111°E to 114°E onshore
23837|DGN95 / Indonesia TM-3 zone 50.1|Indonesia - 114°E to 117°E onshore
23838|DGN95 / Indonesia TM-3 zone 50.2|Indonesia - 117°E to 120°E onshore
23839|DGN95 / Indonesia TM-3 zone 51.1|Indonesia - 120°E to 123°E onshore
23840|DGN95 / Indonesia TM-3 zone 51.2|Indonesia - 123°E to 126°E onshore
23841|DGN95 / Indonesia TM-3 zone 52.1|Indonesia - 126°E to 129°E onshore
23842|DGN95 / Indonesia TM-3 zone 52.2|Indonesia - 129°E to 132°E onshore
23843|DGN95 / Indonesia TM-3 zone 53.1|Indonesia - 132°E to 135°E onshore
23844|DGN95 / Indonesia TM-3 zone 53.2|Indonesia - 135°E to 138°E onshore
23845|DGN95 / Indonesia TM-3 zone 54.1|Indonesia - east of 138°E onshore
23846|ID74 / UTM zone 46N|Indonesia - west of 96°E onshore
23847|ID74 / UTM zone 47N|Indonesia - 96°E to 102°E, N hemisphere onshore
23848|ID74 / UTM zone 48N|Indonesia - 102°E to 108°E, N hemisphere onshore
23849|ID74 / UTM zone 49N|Indonesia - 108°E to 114°E, N hemisphere onshore
23850|ID74 / UTM zone 50N|Indonesia - 114°E to 120°E, N hemisphere onshore
23851|ID74 / UTM zone 51N|Indonesia - 120°E to 126°E, N hemisphere onshore
23852|ID74 / UTM zone 52N|Indonesia - 126°E to 132°E, N hemisphere onshore
23853|ID74 / UTM zone 53N|Indonesia - 132°E to 138°E, N hemisphere
23866|DGN95 / UTM zone 46N|Indonesia - west of 96°E, N hemisphere
23867|DGN95 / UTM zone 47N|Indonesia - 96°E to 102°E, N hemisphere
23868|DGN95 / UTM zone 48N|Indonesia - 102°E to 108°E, N hemisphere
23869|DGN95 / UTM zone 49N|Indonesia - 108°E to 114°E, N hemisphere
23870|DGN95 / UTM zone 50N|Indonesia - 114°E to 120°E, N hemisphere
23871|DGN95 / UTM zone 51N|Indonesia - 120°E to 126°E, N hemisphere
23872|DGN95 / UTM zone 52N|Indonesia - 126°E to 132°E, N hemisphere
23877|DGN95 / UTM zone 47S|Indonesia - 96°E to 102°E, S hemisphere
23878|DGN95 / UTM zone 48S|Indonesia - 102°E to 108°E, S hemisphere
23879|DGN95 / UTM zone 49S|Indonesia - 108°E to 114°E, S hemisphere
23880|DGN95 / UTM zone 50S|Indonesia - 114°E to 120°E, S hemisphere
23881|DGN95 / UTM zone 51S|Indonesia - 120°E to 126°E, S hemisphere
23882|DGN95 / UTM zone 52S|Indonesia - 126°E to 132°E, S hemisphere
23883|DGN95 / UTM zone 53S|Indonesia - 132°E to 138°E, S hemisphere
23884|DGN95 / UTM zone 54S|Indonesia - east of 138°E, S hemisphere
23886|ID74 / UTM zone 46S|Indonesia - west of 96°E, S hemisphere
23887|ID74 / UTM zone 47S|Indonesia - 96°E to 102°E, S hemisphere onshore
23888|ID74 / UTM zone 48S|Indonesia - 102°E to 108°E, S hemisphere onshore
23889|ID74 / UTM zone 49S|Indonesia - 108°E to 114°E, S hemisphere onshore
23890|ID74 / UTM zone 50S|Indonesia - 114°E to 120°E, S hemisphere onshore
23891|ID74 / UTM zone 51S|Indonesia - 120°E to 126°E, S hemisphere onshore
23892|ID74 / UTM zone 52S|Indonesia - 126°E to 132°E, S hemisphere onshore
23893|ID74 / UTM zone 53S|Indonesia - 132°E to 138°E, S hemisphere onshore
23894|ID74 / UTM zone 54S|Indonesia - east of 138°E onshore
23946|Indian 1954 / UTM zone 46N|Myanmar (Burma) - onshore west of 96°E
23947|Indian 1954 / UTM zone 47N|Asia - Myanmar and Thailand - 96°E to 102°E
23948|Indian 1954 / UTM zone 48N|Thailand - onshore east of 102°E
24047|Indian 1975 / UTM zone 47N|Thailand - onshore and GoT 96°E to102°E
24048|Indian 1975 / UTM zone 48N|Thailand - east of 102°E
24100|Jamaica 1875 / Jamaica (Old Grid)|Jamaica - onshore
24200|JAD69 / Jamaica National Grid|Jamaica - onshore
24305|Kalianpur 1937 / UTM zone 45N|Bangladesh - onshore west of 90°E
24306|Kalianpur 1937 / UTM zone 46N|Bangladesh - onshore east of 90°E
24311|Kalianpur 1962 / UTM zone 41N|Pakistan - onshore west of 66°E
24312|Kalianpur 1962 / UTM zone 42N|Pakistan - onshore 66°E to 72°E
24313|Kalianpur 1962 / UTM zone 43N|Pakistan - east of 72°E
24342|Kalianpur 1975 / UTM zone 42N|India - onshore west of 72°E
24343|Kalianpur 1975 / UTM zone 43N|India - mainland 72°E to 78°E
24344|Kalianpur 1975 / UTM zone 44N|India - onshore 78°E to 84°E
24345|Kalianpur 1975 / UTM zone 45N|India - onshore 84°E to 90°E
24346|Kalianpur 1975 / UTM zone 46N|India - mainland 90°E to 96°E
24347|Kalianpur 1975 / UTM zone 47N|India - east of 96°E
24370|Kalianpur 1880 / India zone 0|Pakistan - north of 35°35&#39;N
24371|Kalianpur 1880 / India zone I|Asia - India; Pakistan - 28°N to 35°35&#39;N
24372|Kalianpur 1880 / India zone IIa|Asia - India; Pakistan - onshore 21°N to 28°N and west of 82°E
24373|Kalianpur 1880 / India zone IIIa|India - onshore 15°N to 21°N
24374|Kalianpur 1880 / India zone IVa|India - mainland south of 15°N
24375|Kalianpur 1937 / India zone IIb|Bangladesh - onshore
24376|Kalianpur 1962 / India zone I|Pakistan - 28°N to 35°35&#39;N
24377|Kalianpur 1962 / India zone IIa|Pakistan - onshore south of 28°N
24378|Kalianpur 1975 / India zone I|India - north of 28°N
24379|Kalianpur 1975 / India zone IIa|India - onshore 21°N to 28°N and west of 82°E
24380|Kalianpur 1975 / India zone IIb|India - onshore north of 21°N and east of 82°E
24381|Kalianpur 1975 / India zone IIIa|India - onshore 15°N to 21°N
24382|Kalianpur 1880 / India zone IIb|Asia - Bangladesh; India; Myanmar; Pakistan - zone Ilb
24383|Kalianpur 1975 / India zone IVa|India - mainland south of 15°N
24500|Kertau 1968 / Singapore Grid|Singapore
24547|Kertau 1968 / UTM zone 47N|Malaysia - West Malaysia - onshore west of 102°E
24548|Kertau 1968 / UTM zone 48N|Malaysia - West Malaysia - east of 102°E
24571|Kertau / R.S.O. Malaya (ch)|Malaysia - West Malaysia - onshore
24600|KOC Lambert|Kuwait - onshore
24718|La Canoa / UTM zone 18N|Venezuela - west of 72°W
24719|La Canoa / UTM zone 19N|Venezuela - 72°W and 66°W onshore
24720|La Canoa / UTM zone 20N|Venezuela - east of 66°W onshore
24817|PSAD56 / UTM zone 17N|South America - 84°W to 78°W, N hemisphere and PSAD56 by country
24818|PSAD56 / UTM zone 18N|South America - 78°W to 72°W, N hemisphere and PSAD56 by country
24819|PSAD56 / UTM zone 19N|South America - 72°W to 66°W, N hemisphere and PSAD56 by country
24820|PSAD56 / UTM zone 20N|South America - 66°W to 60°W, N hemisphere and PSAD56 by country
24821|PSAD56 / UTM zone 21N|South America - 60°W to 54°W, N hemisphere and PSAD56 by country
24877|PSAD56 / UTM zone 17S|South America - 84°W to 78°W, S hemisphere and PSAD56 by country
24878|PSAD56 / UTM zone 18S|South America - 78°W to 72°W, S hemisphere and PSAD56 by country
24879|PSAD56 / UTM zone 19S|South America - 72°W to 66°W, S hemisphere and PSAD56 by country
24880|PSAD56 / UTM zone 20S|Bolivia - 66°W to 60°W
24881|PSAD56 / UTM zone 21S|Bolivia - east of 60°W
24882|PSAD56 / UTM zone 22S|Brazil - Amazon cone shelf
24891|PSAD56 / Peru west zone|Peru - west of 79°W
24892|PSAD56 / Peru central zone|Peru - 79°W to 73°W
24893|PSAD56 / Peru east zone|Peru - east of 73°W
25000|Leigon / Ghana Metre Grid|Ghana
25231|Lome / UTM zone 31N|Togo
25391|Luzon 1911 / Philippines zone I|Philippines - zone I onshore
25392|Luzon 1911 / Philippines zone II|Philippines - zone II onshore
25393|Luzon 1911 / Philippines zone III|Philippines - zone III onshore
25394|Luzon 1911 / Philippines zone IV|Philippines - zone IV onshore
25395|Luzon 1911 / Philippines zone V|Philippines - zone V onshore
25700|Makassar (Jakarta) / NEIEZ|Indonesia - Sulawesi SW
25828|ETRS89 / UTM zone 28N|Europe - 18°W to 12°W and ETRS89 by country
25829|ETRS89 / UTM zone 29N|Europe - 12°W to 6°W and ETRS89 by country
25830|ETRS89 / UTM zone 30N|Europe - 6°W to 0°W and ETRS89 by country
25831|ETRS89 / UTM zone 31N|Europe - 0°E to 6°E and ETRS89 by country
25832|ETRS89 / UTM zone 32N|Europe - 6°E to 12°E and ETRS89 by country
25833|ETRS89 / UTM zone 33N|Europe - 12°E to 18°E and ETRS89 by country
25834|ETRS89 / UTM zone 34N|Europe - 18°E to 24°E and ETRS89 by country
25835|ETRS89 / UTM zone 35N|Europe - 24°E to 30°E and ETRS89 by country
25836|ETRS89 / UTM zone 36N|Europe - 30°E to 36°E and ETRS89 by country
25837|ETRS89 / UTM zone 37N|Europe - 36°E to 42°E and ETRS89 by country
25838|ETRS89 / UTM zone 38N|Europe - 42°E to 48°E and ETRS89 by country
25884|ETRS89 / TM Baltic93|Europe - Estonia; Latvia; Lithuania
25932|Malongo 1987 / UTM zone 32S|Africa - Angola (Cabinda) and DR Congo (Zaire) - offshore
26191|Merchich / Nord Maroc|Morocco - north of 31.5°N
26192|Merchich / Sud Maroc|Morocco - south of 31.5°N
26193|Merchich / Sahara|Morocco - south of 27.9°N
26194|Merchich / Sahara Nord|Western Sahara - north of 24.3°N
26195|Merchich / Sahara Sud|Western Sahara - south of 24.3°N
26237|Massawa / UTM zone 37N|Eritrea
26331|Minna / UTM zone 31N|Nigeria - offshore deep water - west of 6°E
26332|Minna / UTM zone 32N|Nigeria - offshore deep water - east of 6°E
26391|Minna / Nigeria West Belt|Nigeria - west of 6.5°E
26392|Minna / Nigeria Mid Belt|Nigeria - 6.5°E to 10.5°E
26393|Minna / Nigeria East Belt|Nigeria - east of 10.5°E
26432|Mhast / UTM zone 32S|Angola - Cabinda
26591|Monte Mario (Rome) / Italy zone 1|Italy - west of 12°E
26592|Monte Mario (Rome) / Italy zone 2|Italy - east of 12°E
26632|M&#39;poraloko / UTM zone 32N|Gabon - north of equator and west of 12°E onshore
26692|M&#39;poraloko / UTM zone 32S|Gabon - west of 12°E
26701|NAD27 / UTM zone 1N|USA - 180°W to 174°W - AK, OCS
26702|NAD27 / UTM zone 2N|USA - 174°W to 168°W - AK, OCS
26703|NAD27 / UTM zone 3N|USA - 168°W to 162°W - AK, OCS
26704|NAD27 / UTM zone 4N|USA - 162°W to 156°W - AK, OCS
26705|NAD27 / UTM zone 5N|USA - 156°W to 150°W - AK, OCS
26706|NAD27 / UTM zone 6N|USA - 150°W to 144°W - AK, OCS
26707|NAD27 / UTM zone 7N|North America - 144°W to 138°W and NAD27 by country
26708|NAD27 / UTM zone 8N|North America - 138°W to 132°W and NAD27 by country - onshore
26709|NAD27 / UTM zone 9N|North America - 132°W to 126°W and NAD27 by country - onshore
26710|NAD27 / UTM zone 10N|North America - 126°W to 120°W and NAD27 by country - onshore
26711|NAD27 / UTM zone 11N|North America - 120°W to 114°W and NAD27 by country - onshore
26712|NAD27 / UTM zone 12N|North America - 114°W to 108°W and NAD27 by country
26713|NAD27 / UTM zone 13N|North America - 108°W to 102°W and NAD27 by country
26714|NAD27 / UTM zone 14N|North America - 102°W to 96°W and NAD27 by country
26715|NAD27 / UTM zone 15N|North America - 96°W to 90°W and NAD27 by country
26716|NAD27 / UTM zone 16N|North America - 90°W to 84°W and NAD27 by country
26717|NAD27 / UTM zone 17N|North America - 84°W to 78°W and NAD27 by country
26718|NAD27 / UTM zone 18N|North America - 78°W to 72°W and NAD27 by country
26719|NAD27 / UTM zone 19N|North America - 72°W to 66°W and NAD27 by country
26720|NAD27 / UTM zone 20N|North America - 66°W to 60°W and NAD27 by country
26721|NAD27 / UTM zone 21N|Canada - 60°W to 54°W and NAD27
26722|NAD27 / UTM zone 22N|Canada - 54°W to 48°W
26729|NAD27 / Alabama East|USA - Alabama - SPCS - E
26730|NAD27 / Alabama West|USA - Alabama - SPCS - W
26731|NAD27 / Alaska zone 1|USA - Alaska - Panhandle
26732|NAD27 / Alaska zone 2|USA - Alaska - 144°W to 141°W
26733|NAD27 / Alaska zone 3|USA - Alaska - 148°W to 144°W
26734|NAD27 / Alaska zone 4|USA - Alaska - 152°W to 148°W
26735|NAD27 / Alaska zone 5|USA - Alaska - 156°W to 152°W
26736|NAD27 / Alaska zone 6|USA - Alaska - 160°W to 156°W
26737|NAD27 / Alaska zone 7|USA - Alaska - 164°W to 160°W
26738|NAD27 / Alaska zone 8|USA - Alaska - north of 54.5°N; 168°W to 164°W
26739|NAD27 / Alaska zone 9|USA - Alaska - north of 54.5°N; west of 168°W
26740|NAD27 / Alaska zone 10|USA - Alaska - Aleutian Islands
26741|NAD27 / California zone I|USA - California - SPCS - 1
26742|NAD27 / California zone II|USA - California - SPCS - 2
26743|NAD27 / California zone III|USA - California - SPCS - 3
26744|NAD27 / California zone IV|USA - California - SPCS - 4
26745|NAD27 / California zone V|USA - California - SPCS27 - 5
26746|NAD27 / California zone VI|USA - California - SPCS - 6
26747|NAD27 / California zone VII|USA - California - SPCS27 - 7
26748|NAD27 / Arizona East|USA - Arizona - SPCS - E
26749|NAD27 / Arizona Central|USA - Arizona - SPCS - C
26750|NAD27 / Arizona West|USA - Arizona - SPCS - W
26751|NAD27 / Arkansas North|USA - Arkansas - SPCS - N
26752|NAD27 / Arkansas South|USA - Arkansas - SPCS - S
26753|NAD27 / Colorado North|USA - Colorado - SPCS - N
26754|NAD27 / Colorado Central|USA - Colorado - SPCS - C
26755|NAD27 / Colorado South|USA - Colorado - SPCS - S
26756|NAD27 / Connecticut|USA - Connecticut
26757|NAD27 / Delaware|USA - Delaware
26758|NAD27 / Florida East|USA - Florida - SPCS - E
26759|NAD27 / Florida West|USA - Florida - SPCS - W
26760|NAD27 / Florida North|USA - Florida - SPCS - N
26766|NAD27 / Georgia East|USA - Georgia - SPCS - E
26767|NAD27 / Georgia West|USA - Georgia - SPCS - W
26768|NAD27 / Idaho East|USA - Idaho - SPCS - E
26769|NAD27 / Idaho Central|USA - Idaho - SPCS - C
26770|NAD27 / Idaho West|USA - Idaho - SPCS - W
26771|NAD27 / Illinois East|USA - Illinois - SPCS - E
26772|NAD27 / Illinois West|USA - Illinois - SPCS - W
26773|NAD27 / Indiana East|USA - Indiana - SPCS - E
26774|NAD27 / Indiana West|USA - Indiana - SPCS - W
26775|NAD27 / Iowa North|USA - Iowa - SPCS - N
26776|NAD27 / Iowa South|USA - Iowa - SPCS - S
26777|NAD27 / Kansas North|USA - Kansas - SPCS - N
26778|NAD27 / Kansas South|USA - Kansas - SPCS - S
26779|NAD27 / Kentucky North|USA - Kentucky - SPCS - N
26780|NAD27 / Kentucky South|USA - Kentucky - SPCS - S
26781|NAD27 / Louisiana North|USA - Louisiana - SPCS - N
26782|NAD27 / Louisiana South|USA - Louisiana - SPCS27 - S
26783|NAD27 / Maine East|USA - Maine - SPCS - E
26784|NAD27 / Maine West|USA - Maine - SPCS - W
26785|NAD27 / Maryland|USA - Maryland
26786|NAD27 / Massachusetts Mainland|USA - Massachusetts - SPCS - mainland
26787|NAD27 / Massachusetts Island|USA - Massachusetts - SPCS - islands
26791|NAD27 / Minnesota North|USA - Minnesota - SPCS - N
26792|NAD27 / Minnesota Central|USA - Minnesota - SPCS - C
26793|NAD27 / Minnesota South|USA - Minnesota - SPCS - S
26794|NAD27 / Mississippi East|USA - Mississippi - SPCS - E
26795|NAD27 / Mississippi West|USA - Mississippi - SPCS - W
26796|NAD27 / Missouri East|USA - Missouri - SPCS - E
26797|NAD27 / Missouri Central|USA - Missouri - SPCS - C
26798|NAD27 / Missouri West|USA - Missouri - SPCS - W
26799|NAD27 / California zone VII|USA - California - SPCS27 - 7
26801|NAD Michigan / Michigan East|USA - Michigan - SPCS - E
26802|NAD Michigan / Michigan Old Central|USA - Michigan - SPCS - old central
26803|NAD Michigan / Michigan West|USA - Michigan - SPCS - W
26811|NAD Michigan / Michigan North|USA - Michigan - SPCS - N
26812|NAD Michigan / Michigan Central|USA - Michigan - SPCS - C
26813|NAD Michigan / Michigan South|USA - Michigan - SPCS - S
26814|NAD83 / Maine East (ftUS)|USA - Maine - SPCS - E
26815|NAD83 / Maine West (ftUS)|USA - Maine - SPCS - W
26819|NAD83 / Minnesota North (ftUS)|USA - Minnesota - SPCS - N
26820|NAD83 / Minnesota Central (ftUS)|USA - Minnesota - SPCS - C
26821|NAD83 / Minnesota South (ftUS)|USA - Minnesota - SPCS - S
26822|NAD83 / Nebraska (ftUS)|USA - Nebraska
26823|NAD83 / West Virginia North (ftUS)|USA - West Virginia - SPCS - N
26824|NAD83 / West Virginia South (ftUS)|USA - West Virginia - SPCS - S
26825|NAD83(HARN) / Maine East (ftUS)|USA - Maine - SPCS - E
26826|NAD83(HARN) / Maine West (ftUS)|USA - Maine - SPCS - W
26830|NAD83(HARN) / Minnesota North (ftUS)|USA - Minnesota - SPCS - N
26831|NAD83(HARN) / Minnesota Central (ftUS)|USA - Minnesota - SPCS - C
26832|NAD83(HARN) / Minnesota South (ftUS)|USA - Minnesota - SPCS - S
26833|NAD83(HARN) / Nebraska (ftUS)|USA - Nebraska
26834|NAD83(HARN) / West Virginia North (ftUS)|USA - West Virginia - SPCS - N
26835|NAD83(HARN) / West Virginia South (ftUS)|USA - West Virginia - SPCS - S
26836|NAD83(NSRS2007) / Maine East (ftUS)|USA - Maine - SPCS - E
26837|NAD83(NSRS2007) / Maine West (ftUS)|USA - Maine - SPCS - W
26841|NAD83(NSRS2007) / Minnesota North (ftUS)|USA - Minnesota - SPCS - N
26842|NAD83(NSRS2007) / Minnesota Central (ftUS)|USA - Minnesota - SPCS - C
26843|NAD83(NSRS2007) / Minnesota South (ftUS)|USA - Minnesota - SPCS - S
26844|NAD83(NSRS2007) / Nebraska (ftUS)|USA - Nebraska
26845|NAD83(NSRS2007) / West Virginia North (ftUS)|USA - West Virginia - SPCS - N
26846|NAD83(NSRS2007) / West Virginia South (ftUS)|USA - West Virginia - SPCS - S
26847|NAD83 / Maine East (ftUS)|USA - Maine - SPCS - E
26848|NAD83 / Maine West (ftUS)|USA - Maine - SPCS - W
26849|NAD83 / Minnesota North (ftUS)|USA - Minnesota - SPCS - N
26850|NAD83 / Minnesota Central (ftUS)|USA - Minnesota - SPCS - C
26851|NAD83 / Minnesota South (ftUS)|USA - Minnesota - SPCS - S
26852|NAD83 / Nebraska (ftUS)|USA - Nebraska
26853|NAD83 / West Virginia North (ftUS)|USA - West Virginia - SPCS - N
26854|NAD83 / West Virginia South (ftUS)|USA - West Virginia - SPCS - S
26855|NAD83(HARN) / Maine East (ftUS)|USA - Maine - SPCS - E
26856|NAD83(HARN) / Maine West (ftUS)|USA - Maine - SPCS - W
26857|NAD83(HARN) / Minnesota North (ftUS)|USA - Minnesota - SPCS - N
26858|NAD83(HARN) / Minnesota Central (ftUS)|USA - Minnesota - SPCS - C
